bounds [
100.000000,25.000000;-100.000000,-25.000000
]
character [
-96.375000,1.581018
]
packs [
0:data/sprites/tiles/main-tiles.def
1:data/sprites/tiles/ground1.def
2:data/sprites/tiles/ground2.def
3:data/sprites/tiles/ground3.def
4:data/sprites/tiles/ground4.def
5:data/sprites/tiles/ground5.def
6:data/sprites/tiles/big-tree.def
]
collisions [
-66.129784,5.542342;-66.068459,-5.212465;-58.955151,-5.059161;-59.047134,-2.943564;-59.966576,-2.003255;-59.389912,-1.825820;-58.621025,-1.751889;-47.384445,-1.751889;-46.763420,-1.944110;-28.435387,-11.405217;-28.376242,-11.996669;-28.795725,-12.399752;-28.810513,-22.003256;-23.013170,-22.003256;-23.053679,-15.675223;-23.452908,-14.754622;-22.403082,-14.562400;-21.486334,-14.532827;-20.303431,-14.784194;-20.554798,-15.686156;-10.034546,-15.641797;-10.057530,-9.840607;-10.589836,-8.731636;-9.820951,-8.372912;-8.431041,-8.328553;-7.466082,-8.639065;-7.998387,-9.825820;-7.954029,-24.952309
3.837351,-24.976416;3.926069,5.748112;0.916256,6.857082;2.320952,7.064090;6.047092,7.049304;6.978627,7.182380;24.801191,15.236057;25.540506,15.369134;24.505466,13.943066;24.520252,-25.000523
27.748632,14.452385;28.621023,14.644607;30.129223,14.659393;31.075544,14.452385
33.271618,13.440332;34.158794,13.632554;35.888790,13.662127;36.672462,13.455119
66.624870,11.585463;67.393761,11.792470;69.182899,11.822042;69.996147,11.570676
74.083244,12.605715;74.866920,12.857081;76.582130,12.886654;77.454521,12.650074
77.969185,14.263550;78.620224,14.534818;100.067993,14.426311
-99.750000,10.663155;-99.750000,24.913155
78.062408,14.158678;78.562408,13.502428;79.437408,13.221178;79.468658,-2.778822;82.468658,-2.778822;82.437408,-5.778822;79.406158,-5.810072;79.374908,-21.685072;82.593658,-21.716322;82.593658,-24.935072;79.374908,-24.903822
-15.884087,-15.645117;-15.674775,-15.435805;-15.350343,-15.425340;-15.109635,-15.655581
0.843750,-7.125996;3.906250,-6.875996
-8.000000,-23.969746;-6.593750,-23.969746
-99.750000,10.592754;-99.718750,0.405254
-99.656250,10.624004;-98.031250,10.467754;-96.406250,10.155254;-94.906250,9.499004;-93.875000,8.655254;-93.187500,7.874004;-92.562500,7.467754;-90.968750,6.717754
-57.218750,-1.775092;-57.031250,-1.243842;-56.468750,-1.150092;-55.937500,-0.868842;-55.281250,-1.150092;-54.718750,-1.400092;-54.625000,-1.806342
-99.737793,0.523758;-87.138969,0.536316
-87.492134,3.608497;-87.228409,0.473523
-87.727585,3.741949;-86.760567,3.968005;-81.824181,3.968005
-82.313965,3.792184;-77.706451,5.591245;-75.357162,4.900517
-75.604340,4.900517;-69.563614,4.913076
-69.808449,4.828337;-65.890144,6.398171
-61.694828,6.400520;-65.933380,6.400520
-99.781250,24.863188;99.937500,24.831938
2.345239,-1.166657;3.886660,-0.849306
99.812500,24.867836;99.875000,22.086586;98.343750,21.586586;97.375000,21.055336;96.562500,20.305336;95.937500,19.117836;95.187500,18.367836;94.281250,17.742836;93.093750,16.242836;92.468750,15.274086;91.718750,14.430336
]
objects [
1;-91.250000,1.510115;0.000000,0.000000
4;-71.750000,11.416365;0.000000,0.000000
5;41.018585,11.702740;0.000000,0.000000
5;48.220734,13.472759;0.000000,0.000000
5;54.995636,10.115826;0.000000,0.000000
5;62.625034,11.275494;0.000000,0.000000
3;-52.781250,0.514448;0.000000,0.000000
0;-7.562500,-23.016802;0.000000,0.000000
0;-6.906250,-23.016802;0.000000,0.000000
0;43.968750,15.576948;0.000000,0.000000
0;-71.718750,9.166365;0.000000,0.000000
0;-91.281250,1.569468;0.000000,0.000000
0;-99.156250,1.694468;0.000000,0.000000
0;-94.406250,10.475718;0.000000,0.000000
0;-3.906250,7.100719;0.000000,0.000000
1;-62.250000,7.456938;0.000000,0.000000
0;-65.375000,2.363188;0.000000,0.000000
0;-42.343750,6.706938;0.000000,0.000000
0;-98.656250,16.519438;0.000000,0.000000
0;-41.375000,7.394438;0.000000,0.000000
0;-40.375000,7.925688;0.000000,0.000000
0;-28.187500,-14.918062;0.000000,0.000000
0;-27.187500,-15.605562;0.000000,0.000000
0;-3.531250,8.019438;0.000000,0.000000
0;-3.125000,8.988188;0.000000,0.000000
0;-9.312500,-1.386812;0.000000,0.000000
0;-9.312500,-2.386812;0.000000,0.000000
0;-9.312500,-3.386812;0.000000,0.000000
0;-7.343750,-12.324312;0.000000,0.000000
0;80.187500,-3.605562;0.000000,0.000000
0;81.843750,-3.636812;0.000000,0.000000
0;81.843750,-5.230562;0.000000,0.000000
0;80.187500,-5.199312;0.000000,0.000000
0;80.031250,-22.449312;0.000000,0.000000
0;82.031250,-22.449312;0.000000,0.000000
0;82.031250,-24.449312;0.000000,0.000000
0;80.031250,-24.449312;0.000000,0.000000
0;-7.250000,-23.605562;0.000000,0.000000
5;-3.593750,-7.168062;0.000000,0.000000
5;-2.946835,1.274474;0.000000,0.000000
2;-41.531250,22.336586;-36.406250,1.305336
0;-98.406250,3.586586;0.000000,0.000000
]
checkpoints [
-9.281250,-3.2259142,12.242836;34.875000,18.836586;68.218750,16.930336;-47.531250,4.211586;-61.750000,11.586586;-81.000000,9.617836;
]
